Entity,Code,Year,Disasters
All disasters,,1900,6
All disasters,,1901,1
All disasters,,1902,10
All disasters,,1903,12
All disasters,,1904,4
All disasters,,1905,7
All disasters,,1906,13
All disasters,,1907,4
All disasters,,1908,3
All disasters,,1909,15
All disasters,,1910,16
All disasters,,1911,19
All disasters,,1912,15
All disasters,,1913,14
All disasters,,1914,17
All disasters,,1915,7
All disasters,,1916,3
All disasters,,1917,7
All disasters,,1918,5
All disasters,,1919,4
All disasters,,1920,10
All disasters,,1921,2
All disasters,,1922,8
All disasters,,1923,14
All disasters,,1924,8
All disasters,,1925,12
All disasters,,1926,14
All disasters,,1927,10
All disasters,,1928,17
All disasters,,1929,5
All disasters,,1930,21
All disasters,,1931,14
All disasters,,1932,13
All disasters,,1933,12
All disasters,,1934,10
All disasters,,1935,17
All disasters,,1936,22
All disasters,,1937,12
All disasters,,1938,8
All disasters,,1939,13
All disasters,,1940,21
All disasters,,1941,22
All disasters,,1942,21
All disasters,,1943,25
All disasters,,1944,23
All disasters,,1945,16
All disasters,,1946,17
All disasters,,1947,13
All disasters,,1948,25
All disasters,,1949,21
All disasters,,1950,26
All disasters,,1951,31
All disasters,,1952,29
All disasters,,1953,36
All disasters,,1954,33
All disasters,,1955,32
All disasters,,1956,36
All disasters,,1957,28
All disasters,,1958,24
All disasters,,1959,33
All disasters,,1960,40
All disasters,,1961,30
All disasters,,1962,29
All disasters,,1963,41
All disasters,,1964,61
All disasters,,1965,62
All disasters,,1966,82
All disasters,,1967,77
All disasters,,1968,80
All disasters,,1969,66
All disasters,,1970,83
All disasters,,1971,67
All disasters,,1972,69
All disasters,,1973,76
All disasters,,1974,75
All disasters,,1975,70
All disasters,,1976,88
All disasters,,1977,120
All disasters,,1978,115
All disasters,,1979,116
All disasters,,1980,124
All disasters,,1981,139
All disasters,,1982,164
All disasters,,1983,223
All disasters,,1984,164
All disasters,,1985,173
All disasters,,1986,147
All disasters,,1987,183
All disasters,,1988,199
All disasters,,1989,172
All disasters,,1990,278
All disasters,,1991,236
All disasters,,1992,220
All disasters,,1993,268
All disasters,,1994,252
All disasters,,1995,254
All disasters,,1996,231
All disasters,,1997,263
All disasters,,1998,300
All disasters,,1999,343
All disasters,,2000,424
All disasters,,2001,395
All disasters,,2002,438
All disasters,,2003,373
All disasters,,2004,368
All disasters,,2005,435
All disasters,,2006,430
All disasters,,2007,415
All disasters,,2008,367
All disasters,,2009,368
All disasters,,2010,415
All disasters,,2011,351
All disasters,,2012,364
All disasters,,2013,340
All disasters,,2014,329
All disasters,,2015,404
All disasters,,2016,349
All disasters,,2017,364
All disasters,,2018,323
All disasters,,2019,413
All disasters,,2020,407
All disasters,,2021,441
All disasters,,2022,440
All disasters,,2023,410
